item,choice1,choice2,choice3,choice4,corrAns,givenAns,rt,correct,cond,filename,natural,production,displayOrder,date,hour,min,n,subject,target,expectedprefix,response,vowel_correct,expectedanswer,expectedstem,consonant_correct
guce,muhuce,mahuce,muguce,maguce,1,1,17.929733685001338,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,1,2019-05-22,13,28,54,22,target,mu,muhuce,1,muhuce,huce,1
dewo,musewo,madewo,masewo,mudewo,3,2,7.999121189001016,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,2,2019-05-22,13,28,54,22,target,ma,madewo,1,masewo,sewo,0
dumu,mudumu,madumu,musumu,masumu,3,3,2.9080495150010393,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,3,2019-05-22,13,28,54,22,target,mu,musumu,1,musumu,sumu,1
boze,muboze,mafoze,mufoze,maboze,2,2,8.948140457998306,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,4,2019-05-22,13,28,54,22,target,ma,mafoze,1,mafoze,foze,1
duwa,maduwa,muduwa,musuwa,masuwa,3,3,3.884070072999748,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,5,2019-05-22,13,28,54,22,target,mu,musuwa,1,musuwa,suwa,1
gewu,mahewu,magewu,mugewu,muhewu,1,2,8.954035881999516,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,6,2019-05-22,13,28,54,22,target,ma,magewu,1,mahewu,hewu,0
deyu,mudeyu,museyu,maseyu,madeyu,3,3,12.08578696099903,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,7,2019-05-22,13,28,54,22,target,ma,maseyu,1,maseyu,seyu,1
liya,muyiya,muliya,maliya,mayiya,3,3,1.634821921999901,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,8,2019-05-22,13,28,54,22,filler,ma,maliya,1,maliya,liya,1
gemi,mahemi,muhemi,magemi,mugemi,1,3,9.29947660200014,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,9,2019-05-22,13,28,54,22,target,ma,magemi,1,mahemi,hemi,0
dule,masule,madule,musule,mudule,3,3,5.4507034920006845,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,10,2019-05-22,13,28,54,22,target,mu,musule,1,musule,sule,1
galu,mahalu,muhalu,magalu,mugalu,1,3,9.598806325000623,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,11,2019-05-22,13,28,54,22,target,ma,magalu,1,mahalu,halu,0
geza,maheza,muheza,mugeza,mageza,1,4,4.849073084000338,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,12,2019-05-22,13,28,54,22,target,ma,mageza,1,maheza,heza,0
gamo,mahamo,mugamo,magamo,muhamo,1,3,8.78522764400077,0,nat_prod,Natural production_2019_May_22_1328.csv,1,1,13,2019-05-22,13,28,54,22,target,ma,magamo,1,mahamo,hamo,0
baca,mubaca,mafaca,mufaca,mabaca,2,2,7.569408817998919,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,14,2019-05-22,13,28,54,22,target,ma,mafaca,1,mafaca,faca,1
zawo,muzawo,macawo,mucawo,mazawo,4,4,3.6227745169999253,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,15,2019-05-22,13,28,54,22,filler,ma,mazawo,1,mazawo,zawo,1
ceya,mazeya,muzeya,muceya,maceya,4,4,7.233419731999675,1,nat_prod,Natural production_2019_May_22_1328.csv,1,1,16,2019-05-22,13,28,54,22,filler,ma,maceya,1,maceya,ceya,1
